file,acceleration,time,events,driver
carla_driver_data.csv,4.58,7.7,harsh_acceleration,apo
carla_driver_data.csv,4.79,18.0,harsh_acceleration,apo
carla_driver_data.csv,4.75,25.9,harsh_acceleration,apo
carla_driver_data.csv,3.86,33.8,harsh_acceleration,apo
carla_driver_data.csv,3.04,85.8,harsh_acceleration,apo
carla_driver_data.csv,3.1,142.3,harsh_acceleration,apo
carla_driver_data.csv,3.86,227.0,harsh_acceleration,apo
carla_driver_data.csv,3.02,247.1,harsh_acceleration,apo
carla_driver_data.csv,4.32,279.4,harsh_acceleration,apo
carla_driver_data.csv,3.24,340.4,harsh_acceleration,apo
carla_driver_data.csv,3.12,341.6,harsh_acceleration,apo
carla_driver_data.csv,3.11,381.3,harsh_acceleration,apo
carla_driver_data.csv,6.11,410.6,harsh_acceleration,apo
carla_driver_data.csv,4.6,413.2,harsh_acceleration,apo
carla_driver_data.csv,3.39,470.1,harsh_acceleration,apo
carla_driver_data.csv,3.12,486.5,harsh_acceleration,apo
carla_driver_data.csv,6.8,488.4,harsh_acceleration,apo
carla_driver_data.csv,3.27,490.4,harsh_acceleration,apo
carla_driver_data.csv,3.24,492.9,harsh_acceleration,apo
carla_driver_data.csv,4.64,496.1,harsh_acceleration,apo
carla_driver_data.csv,4.28,503.5,harsh_acceleration,apo
carla_driver_data.csv,3.38,510.9,harsh_acceleration,apo
carla_driver_data.csv,3.12,514.7,harsh_acceleration,apo
carla_driver_data.csv,5.09,631.7,harsh_acceleration,apo
carla_driver_data.csv,6.96,635.7,harsh_acceleration,apo
carla_driver_data.csv,3.48,654.8,harsh_acceleration,apo
carla_driver_data.csv,5.81,658.8,harsh_acceleration,apo
carla_driver_data.csv,3.05,665.1,harsh_acceleration,apo
carla_driver_data.csv,4.04,716.7,harsh_acceleration,apo
carla_driver_data.csv,3.42,718.2,harsh_acceleration,apo
carla_driver_data.csv,3.19,722.6,harsh_acceleration,apo
carla_driver_data.csv,3.75,727.7,harsh_acceleration,apo
carla_driver_data.csv,3.08,731.1,harsh_acceleration,apo
carla_driver_data.csv,3.77,734.1,harsh_acceleration,apo
carla_driver_data.csv,4.0,736.1,harsh_acceleration,apo
carla_driver_data.csv,4.64,744.0,harsh_acceleration,apo
carla_driver_data.csv,3.02,753.1,harsh_acceleration,apo
carla_driver_data.csv,3.5,796.8,harsh_acceleration,apo
carla_driver_data.csv,3.53,854.6,harsh_acceleration,apo
carla_driver_data.csv,4.42,886.3,harsh_acceleration,onder
carla_driver_data.csv,4.27,897.9,harsh_acceleration,onder
carla_driver_data.csv,5.99,906.3,harsh_acceleration,onder
carla_driver_data.csv,3.11,921.8,harsh_acceleration,onder
carla_driver_data.csv,3.08,928.2,harsh_acceleration,onder
carla_driver_data.csv,3.58,986.7,harsh_acceleration,onder
carla_driver_data.csv,3.61,989.5,harsh_acceleration,onder
carla_driver_data.csv,3.05,1005.3,harsh_acceleration,onder
carla_driver_data.csv,3.05,1084.2,harsh_acceleration,onder
carla_driver_data.csv,3.44,1167.4,harsh_acceleration,onder
carla_driver_data.csv,3.43,1213.0,harsh_acceleration,onder
carla_driver_data.csv,3.0,1303.3,harsh_acceleration,onder
carla_driver_data.csv,3.08,1361.3,harsh_acceleration,onder
carla_driver_data.csv,3.15,1363.4,harsh_acceleration,onder
carla_driver_data.csv,3.51,1537.0,harsh_acceleration,onder
carla_driver_data.csv,3.39,1538.5,harsh_acceleration,onder
carla_driver_data.csv,3.1,1618.3,harsh_acceleration,onder
carla_driver_data.csv,3.01,1621.4,harsh_acceleration,onder
carla_driver_data.csv,3.18,1626.7,harsh_acceleration,onder
carla_driver_data.csv,3.31,1628.9,harsh_acceleration,onder
carla_driver_data.csv,3.45,1632.3,harsh_acceleration,onder
carla_driver_data.csv,3.09,1670.7,harsh_acceleration,onder
carla_driver_data.csv,3.67,1673.1,harsh_acceleration,onder
carla_driver_data.csv,3.7,1674.9,harsh_acceleration,onder
carla_driver_data.csv,3.04,1763.6,harsh_acceleration,onder
carla_driver_data.csv,3.15,1774.6,harsh_acceleration,onder
carla_driver_data.csv,4.42,1778.1,harsh_acceleration,onder
carla_driver_data.csv,4.19,1785.9,harsh_acceleration,onder
carla_driver_data.csv,3.32,1826.6,harsh_acceleration,onder
carla_driver_data.csv,3.21,1884.0,harsh_acceleration,onder
carla_driver_data.csv,3.16,1923.5,harsh_acceleration,onder
carla_driver_data.csv,4.38,2012.5,harsh_acceleration,hurcan
carla_driver_data.csv,8.57,2020.7,harsh_acceleration,hurcan
carla_driver_data.csv,4.71,2028.9,harsh_acceleration,hurcan
carla_driver_data.csv,3.91,2037.0,harsh_acceleration,hurcan
carla_driver_data.csv,3.32,2090.3,harsh_acceleration,hurcan
carla_driver_data.csv,3.38,2141.6,harsh_acceleration,hurcan
carla_driver_data.csv,3.19,2149.7,harsh_acceleration,hurcan
carla_driver_data.csv,3.1,2192.7,harsh_acceleration,hurcan
carla_driver_data.csv,3.14,2195.5,harsh_acceleration,hurcan
carla_driver_data.csv,3.35,2237.5,harsh_acceleration,hurcan
carla_driver_data.csv,3.11,2240.2,harsh_acceleration,hurcan
carla_driver_data.csv,3.41,2411.0,harsh_acceleration,hurcan
carla_driver_data.csv,3.15,2599.5,harsh_acceleration,hurcan
carla_driver_data.csv,3.07,2639.0,harsh_acceleration,hurcan
carla_driver_data.csv,3.26,2730.2,harsh_acceleration,hurcan
carla_driver_data.csv,3.17,2732.8,harsh_acceleration,hurcan
carla_driver_data.csv,3.12,2839.8,harsh_acceleration,hurcan
carla_driver_data.csv,4.42,2868.5,harsh_acceleration,gonca
carla_driver_data.csv,6.57,2876.6,harsh_acceleration,gonca
carla_driver_data.csv,4.77,2884.9,harsh_acceleration,gonca
carla_driver_data.csv,3.91,2893.0,harsh_acceleration,gonca
carla_driver_data.csv,3.66,3112.4,harsh_acceleration,gonca
carla_driver_data.csv,4.52,3113.9,harsh_acceleration,gonca
carla_driver_data.csv,3.04,3128.4,harsh_acceleration,gonca
carla_driver_data.csv,3.02,3133.5,harsh_acceleration,gonca
carla_driver_data.csv,6.42,3154.0,harsh_acceleration,gonca
carla_driver_data.csv,5.25,3162.2,harsh_acceleration,gonca
carla_driver_data.csv,4.28,3170.7,harsh_acceleration,gonca
carla_driver_data.csv,3.03,3174.5,harsh_acceleration,gonca
carla_driver_data.csv,3.14,3218.4,harsh_acceleration,gonca
carla_driver_data.csv,3.02,3402.3,harsh_acceleration,gonca
carla_driver_data.csv,3.0,3453.2,harsh_acceleration,gonca
carla_driver_data.csv,6.1,3602.4,harsh_acceleration,gonca
carla_driver_data.csv,5.7,3609.1,harsh_acceleration,gonca
carla_driver_data.csv,4.07,3618.8,harsh_acceleration,gonca
carla_driver_data.csv,4.05,3625.0,harsh_acceleration,gonca
carla_driver_data.csv,3.05,3634.3,harsh_acceleration,gonca
carla_driver_data.csv,4.51,3639.0,harsh_acceleration,gonca
carla_driver_data.csv,7.04,3645.0,harsh_acceleration,gonca
carla_driver_data.csv,3.45,3653.1,harsh_acceleration,gonca
carla_driver_data.csv,3.01,3658.5,harsh_acceleration,gonca
carla_driver_data.csv,3.49,3754.6,harsh_acceleration,gonca
carla_driver_data.csv,3.11,3756.5,harsh_acceleration,gonca
carla_driver_data.csv,3.08,3855.9,harsh_acceleration,gonca
carla_driver_data.csv,3.06,3857.4,harsh_acceleration,gonca
carla_driver_data.csv,5.43,3969.4,harsh_acceleration,mehdi
carla_driver_data.csv,6.67,3977.6,harsh_acceleration,mehdi
carla_driver_data.csv,3.45,3985.7,harsh_acceleration,mehdi
carla_driver_data.csv,3.91,3993.8,harsh_acceleration,mehdi
carla_driver_data.csv,6.3,4153.7,harsh_acceleration,mehdi
carla_driver_data.csv,3.01,4204.6,harsh_acceleration,mehdi
carla_driver_data.csv,3.22,4301.1,harsh_acceleration,mehdi
carla_driver_data.csv,3.04,4306.9,harsh_acceleration,mehdi
carla_driver_data.csv,3.07,4445.0,harsh_acceleration,mehdi
carla_driver_data.csv,3.06,4495.3,harsh_acceleration,mehdi
carla_driver_data.csv,3.11,4550.9,harsh_acceleration,mehdi
carla_driver_data.csv,3.1,4647.8,harsh_acceleration,mehdi
carla_driver_data.csv,3.14,4679.0,harsh_acceleration,mehdi
carla_driver_data.csv,3.04,4729.5,harsh_acceleration,mehdi
carla_driver_data.csv,3.22,4730.6,harsh_acceleration,mehdi
carla_driver_data.csv,4.32,4792.9,harsh_acceleration,berk
carla_driver_data.csv,7.43,4800.8,harsh_acceleration,berk
carla_driver_data.csv,3.17,4808.6,harsh_acceleration,berk
carla_driver_data.csv,3.9,4816.4,harsh_acceleration,berk
carla_driver_data.csv,3.4,4861.0,harsh_acceleration,berk
carla_driver_data.csv,3.59,4864.2,harsh_acceleration,berk
carla_driver_data.csv,3.06,5026.6,harsh_acceleration,berk
carla_driver_data.csv,3.0,5028.4,harsh_acceleration,berk
carla_driver_data.csv,3.01,5089.5,harsh_acceleration,berk
carla_driver_data.csv,3.17,5204.6,harsh_acceleration,berk
carla_driver_data.csv,3.12,5252.7,harsh_acceleration,berk
carla_driver_data.csv,3.54,5255.9,harsh_acceleration,berk
carla_driver_data.csv,3.12,5357.8,harsh_acceleration,berk
carla_driver_data.csv,3.0,5466.8,harsh_acceleration,berk
carla_driver_data.csv,3.31,5524.7,harsh_acceleration,berk
carla_driver_data.csv,3.0,5525.8,harsh_acceleration,berk
carla_driver_data.csv,3.12,5537.9,harsh_acceleration,berk
carla_driver_data.csv,3.33,5587.1,harsh_acceleration,berk
carla_driver_data.csv,3.13,5639.8,harsh_acceleration,berk
carla_driver_data.csv,3.06,5686.7,harsh_acceleration,berk
carla_driver_data.csv,3.09,5688.4,harsh_acceleration,berk
carla_driver_data.csv,4.29,5718.5,harsh_acceleration,apo
carla_driver_data.csv,4.34,5732.8,harsh_acceleration,apo
carla_driver_data.csv,4.99,5740.6,harsh_acceleration,apo
carla_driver_data.csv,4.06,5748.4,harsh_acceleration,apo
carla_driver_data.csv,3.04,5881.5,harsh_acceleration,apo
carla_driver_data.csv,3.3,5930.8,harsh_acceleration,apo
carla_driver_data.csv,3.64,5934.3,harsh_acceleration,apo
carla_driver_data.csv,4.24,6013.6,harsh_acceleration,onder
carla_driver_data.csv,4.19,6026.1,harsh_acceleration,onder
carla_driver_data.csv,3.06,6054.0,harsh_acceleration,onder
carla_driver_data.csv,3.01,6113.9,harsh_acceleration,onder
carla_driver_data.csv,3.01,6177.6,harsh_acceleration,onder
carla_driver_data.csv,3.25,6178.7,harsh_acceleration,onder
carla_driver_data.csv,3.14,6230.8,harsh_acceleration,onder
carla_driver_data.csv,3.03,6234.3,harsh_acceleration,onder
carla_driver_data.csv,3.18,6237.1,harsh_acceleration,onder
carla_driver_data.csv,3.07,6239.3,harsh_acceleration,onder
carla_driver_data.csv,4.08,6331.2,harsh_acceleration,hurcan
carla_driver_data.csv,3.11,6332.5,harsh_acceleration,hurcan
carla_driver_data.csv,3.14,6336.1,harsh_acceleration,hurcan
carla_driver_data.csv,6.59,6344.2,harsh_acceleration,hurcan
carla_driver_data.csv,4.24,6352.1,harsh_acceleration,hurcan
carla_driver_data.csv,3.24,6412.8,harsh_acceleration,hurcan
carla_driver_data.csv,3.08,6416.4,harsh_acceleration,hurcan
carla_driver_data.csv,3.05,6419.9,harsh_acceleration,hurcan
carla_driver_data.csv,3.04,6473.6,harsh_acceleration,hurcan
carla_driver_data.csv,3.02,6474.7,harsh_acceleration,hurcan
carla_driver_data.csv,3.07,6480.7,harsh_acceleration,hurcan
carla_driver_data.csv,3.48,6573.4,harsh_acceleration,hurcan
carla_driver_data.csv,3.17,6576.2,harsh_acceleration,hurcan
carla_driver_data.csv,4.37,6602.6,harsh_acceleration,mehdi
carla_driver_data.csv,3.41,6610.1,harsh_acceleration,mehdi
carla_driver_data.csv,3.9,6617.8,harsh_acceleration,mehdi
carla_driver_data.csv,3.52,6625.3,harsh_acceleration,mehdi
carla_driver_data.csv,3.01,6665.0,harsh_acceleration,mehdi
carla_driver_data.csv,3.04,6708.2,harsh_acceleration,mehdi
carla_driver_data.csv,3.03,6709.6,harsh_acceleration,mehdi
carla_driver_data.csv,4.67,6738.9,harsh_acceleration,mehdi
carla_driver_data.csv,4.1,6755.6,harsh_acceleration,mehdi
carla_driver_data.csv,3.04,6761.5,harsh_acceleration,mehdi
carla_driver_data.csv,3.68,6767.8,harsh_acceleration,mehdi
carla_driver_data.csv,4.26,6825.1,harsh_acceleration,berk
carla_driver_data.csv,4.23,6832.7,harsh_acceleration,berk
carla_driver_data.csv,3.57,6833.8,harsh_acceleration,berk
carla_driver_data.csv,3.03,6834.9,harsh_acceleration,berk
carla_driver_data.csv,3.1,6838.3,harsh_acceleration,berk
carla_driver_data.csv,6.61,6846.1,harsh_acceleration,berk
carla_driver_data.csv,4.18,6853.7,harsh_acceleration,berk
carla_driver_data.csv,3.02,6896.7,harsh_acceleration,berk
carla_driver_data.csv,3.04,6902.2,harsh_acceleration,berk
carla_driver_data.csv,3.74,6904.1,harsh_acceleration,berk
carla_driver_data.csv,3.01,6919.8,harsh_acceleration,berk
carla_driver_data.csv,3.02,6923.3,harsh_acceleration,berk
carla_driver_data.csv,3.39,6932.1,harsh_acceleration,berk
carla_driver_data.csv,3.43,6937.6,harsh_acceleration,berk
carla_driver_data.csv,3.78,6966.8,harsh_acceleration,berk
carla_driver_data.csv,4.19,7014.5,harsh_acceleration,berk
carla_driver_data.csv,3.36,7053.3,harsh_acceleration,berk
carla_driver_data.csv,3.16,7060.5,harsh_acceleration,berk
carla_driver_data.csv,4.32,7079.2,harsh_acceleration,selin
carla_driver_data.csv,8.15,7087.3,harsh_acceleration,selin
carla_driver_data.csv,3.1,7097.2,harsh_acceleration,selin
carla_driver_data.csv,3.34,7103.2,harsh_acceleration,selin
carla_driver_data.csv,3.29,7249.0,harsh_acceleration,selin
carla_driver_data.csv,3.15,7253.9,harsh_acceleration,selin
carla_driver_data.csv,3.15,7257.8,harsh_acceleration,selin
carla_driver_data.csv,3.35,7319.4,harsh_acceleration,selin
carla_driver_data.csv,3.04,7356.4,harsh_acceleration,selin
carla_driver_data.csv,3.04,7360.0,harsh_acceleration,selin
carla_driver_data.csv,5.3,7398.6,harsh_acceleration,selin
carla_driver_data.csv,8.03,7406.8,harsh_acceleration,selin
carla_driver_data.csv,3.09,7414.9,harsh_acceleration,selin
carla_driver_data.csv,3.77,7423.0,harsh_acceleration,selin
carla_driver_data.csv,3.05,7432.3,harsh_acceleration,selin
carla_driver_data.csv,3.08,7480.4,harsh_acceleration,selin
carla_driver_data.csv,3.06,7488.8,harsh_acceleration,selin
carla_driver_data.csv,3.08,7549.9,harsh_acceleration,selin
carla_driver_data.csv,3.42,7623.8,harsh_acceleration,selin
carla_driver_data.csv,3.03,7680.8,harsh_acceleration,selin
carla_driver_data.csv,3.68,7693.9,harsh_acceleration,selin
carla_driver_data.csv,3.16,7733.1,harsh_acceleration,selin
carla_driver_data.csv,3.05,7735.1,harsh_acceleration,selin
carla_driver_data.csv,3.05,7761.7,harsh_acceleration,selin
carla_driver_data.csv,3.07,7775.6,harsh_acceleration,selin
carla_driver_data.csv,3.38,7853.8,harsh_acceleration,selin
carla_driver_data.csv,3.22,7855.4,harsh_acceleration,selin
carla_driver_data.csv,3.01,7897.4,harsh_acceleration,selin
carla_driver_data.csv,3.06,7906.3,harsh_acceleration,selin
carla_driver_data.csv,3.71,7984.6,harsh_acceleration,selin
carla_driver_data.csv,3.12,7985.8,harsh_acceleration,selin
carla_driver_data.csv,3.03,7988.6,harsh_acceleration,selin
carla_driver_data.csv,3.4,8030.4,harsh_acceleration,selin
carla_driver_data.csv,3.17,8051.3,harsh_acceleration,selin
carla_driver_data.csv,3.31,8076.8,harsh_acceleration,selin
carla_driver_data.csv,3.17,8079.6,harsh_acceleration,selin
carla_driver_data.csv,3.09,8081.2,harsh_acceleration,selin
carla_driver_data.csv,3.42,8196.4,harsh_acceleration,selin
carla_driver_data.csv,3.56,8200.1,harsh_acceleration,selin
carla_driver_data.csv,3.02,8241.8,harsh_acceleration,selin
carla_driver_data.csv,3.16,8243.0,harsh_acceleration,selin
carla_driver_data.csv,3.06,8255.3,harsh_acceleration,selin
carla_driver_data.csv,3.11,8288.1,harsh_acceleration,selin
carla_driver_data.csv,3.63,8335.9,harsh_acceleration,selin
carla_driver_data.csv,3.55,8358.0,harsh_acceleration,selin
carla_driver_data.csv,3.09,8364.3,harsh_acceleration,selin
carla_driver_data.csv,3.06,8426.7,harsh_acceleration,selin
carla_driver_data.csv,3.0,8513.8,harsh_acceleration,selin
carla_driver_data.csv,3.09,8591.3,harsh_acceleration,selin
carla_driver_data.csv,3.53,8595.6,harsh_acceleration,selin
carla_driver_data.csv,3.05,8604.9,harsh_acceleration,selin
carla_driver_data.csv,3.11,8676.5,harsh_acceleration,selin
carla_driver_data.csv,3.41,8724.5,harsh_acceleration,selin
carla_driver_data.csv,3.52,8725.7,harsh_acceleration,selin
carla_driver_data.csv,3.04,8732.6,harsh_acceleration,selin
carla_driver_data.csv,3.11,8773.7,harsh_acceleration,selin
carla_driver_data.csv,3.18,8827.2,harsh_acceleration,selin
carla_driver_data.csv,3.07,8834.8,harsh_acceleration,selin
